id,date,time,incident_type,point_x,point_y,longitude,latitude
5618,1/11/2013 0:00:00,"10:00:00",5,148674.60,253867.30,-66.9188542209,18.3194067619
5619,1/7/2013 0:00:00,"22:00:00",6,139723.27,256991.47,-67.0036223006,18.3473996026
5620,1/12/2013 0:00:00,"22:00:00",6,140999.40,256646.59,-66.9915387346,18.3443192433
5621,1/14/2013 0:00:00,"10:00:00",5,125755.90,271435.29,-67.1362935142,18.4774549056
5622,1/12/2013 0:00:00,"22:00:00",6,140576.36,255985.03,-66.9955218805,18.3383305546
5623,1/1/2013 0:00:00,"11:30:00",5,144615.00,249860.72,-66.9571480433,18.2831072087
5624,1/2/2013 0:00:00,"18:00:00",5,130343.63,254718.38,-67.0922866551,18.3265784926
5625,1/8/2013 0:00:00,"16:00:00",6,133074.10,274948.54,-67.0671188293,18.5094365471
5626,1/15/2013 0:00:00,"15:30:00",5,125150.91,267625.00,-67.1418820493,18.4430097444
5627,1/11/2013 0:00:00,"15:00:00",5,144141.99,256899.39,-66.9618137242,18.3466874597
5628,1/8/2013 0:00:00,"17:30:00",5,123652.06,264127.34,-67.1559399076,18.4113570207
5629,1/4/2013 0:00:00,"23:00:00",5,139452.71,270805.67,-67.0065912541,18.4721978129
5630,1/6/2013 0:00:00,"04:58:00",3,122639.04,270590.26,-67.1657723498,18.4697101298
5631,1/3/2013 0:00:00,"17:00:00",6,123823.55,265816.13,-67.1543797687,18.4266206153
5632,1/10/2013 0:00:00,"01:05:00",5,126888.03,262540.50,-67.125256131,18.3971334876
5633,1/8/2013 0:00:00,"19:00:00",5,144900.12,257442.09,-66.9546556076,18.3516102227
5634,1/13/2013 0:00:00,"22:00:00",6,140210.24,259629.62,-66.9990921348,18.3712480812
5635,1/2/2013 0:00:00,"02:00:00",6,141772.75,260571.28,-66.9843338327,18.3797987017
5636,1/11/2013 0:00:00,"17:00:00",5,137564.22,270365.10,-67.0244577707,18.468163233
5637,1/13/2013 0:00:00,"02:30:00",6,141027.33,256636.54,-66.9912742004,18.3442292136
5638,1/11/2013 0:00:00,"09:31:00",5,130418.48,268690.06,-67.0920540298,18.4528097303
5639,1/6/2013 0:00:00,"19:00:00",6,148333.30,252975.10,-66.9220602627,18.3113377625
5640,1/3/2013 0:00:00,"16:40:00",6,127692.86,274300.48,-67.1180555436,18.5034066603
5641,1/10/2013 0:00:00,"21:00:00",6,131865.25,275349.52,-67.0785798749,18.5130210343
5642,1/9/2013 0:00:00,"13:49:00",3,128427.63,272161.46,-67.1110226416,18.4841064676
5643,1/13/2013 0:00:00,"01:00:00",6,140962.53,256547.17,-66.9918846909,18.343419998
5644,1/14/2013 0:00:00,"17:00:00",6,122838.02,269376.25,-67.1638426122,18.4587493413
5645,1/8/2013 0:00:00,"19:00:00",5,138750.36,269955.76,-67.0132155334,18.4644993069
5646,1/25/2013 0:00:00,"08:00:00",6,122399.62,259923.81,-67.1676341531,18.3733347791
5647,1/17/2013 0:00:00,"17:00:00",5,147558.00,261671.01,-66.9296168927,18.38988384
5648,1/24/2013 0:00:00,"10:30:00",3,123788.40,266151.47,-67.1547249812,18.4296490119
5649,1/22/2013 0:00:00,"16:20:00",1,132503.31,274599.02,-67.0725125899,18.5062609048
5650,1/24/2013 0:00:00,"02:00:00",6,139431.08,270826.97,-67.0067966758,18.4723896362
5651,1/25/2013 0:00:00,"08:00:00",5,125896.02,267267.42,-67.1348156694,18.4398050921
5652,1/18/2013 0:00:00,"08:00:00",6,116376.72,260318.78,-67.2246418715,18.3766765113
5653,1/19/2013 0:00:00,"16:40:00",6,137758.77,273962.20,-67.022725453,18.5006668602
5654,1/26/2013 0:00:00,"20:00:00",4,128127.35,262084.02,-67.1135114196,18.3930513181
5655,1/27/2013 0:00:00,"20:30:00",6,137686.51,270353.75,-67.0232996251,18.4680642543
5656,1/23/2013 0:00:00,"04:30:00",6,140447.00,256219.99,-66.9967525468,18.3404497562
5657,1/25/2013 0:00:00,"15:00:00",6,113874.97,255027.38,-67.2480922855,18.328771492
5658,1/29/2013 0:00:00,"19:00:00",5,143848.18,255726.41,-66.9645612915,18.336082251
5659,1/16/2013 0:00:00,"22:14:00",1,129569.90,275314.09,-67.1003157806,18.5126266429
5660,1/30/2013 0:00:00,"21:15:00",5,131866.09,273605.70,-67.0785137359,18.4972666139
5661,1/25/2013 0:00:00,"20:00:00",6,127768.89,272003.30,-67.1172543286,18.4826554486
5662,1/29/2013 0:00:00,"13:00:00",5,137775.95,270706.61,-67.0224635865,18.4712547742
5663,1/26/2013 0:00:00,"19:30:00",6,123778.44,266693.12,-67.154839459,18.4345422205
5664,1/19/2013 0:00:00,"15:15:00",6,123939.15,263932.66,-67.1532154855,18.4096083846
5665,1/29/2013 0:00:00,"17:30:00",5,142153.78,253244.60,-66.9805210197,18.313614707
